Maine 2025 Priority Bills,Stance,Issues,Status Text,Last Timeline Action,Source Link
"L.D. 646 (H.P. 414): Resolve, Establishing the Commission to Study Unregulated Storm Water Pollution ",Support,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Resolve Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/646?legislature=132
L.D. 231 (H.P. 154): An Act to Update the Solid Waste Management Hierarchy ,Oppose,,Introduced or Prefiled,"Received By The Clerk Of The House On January 16, 2025. The Bill Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/231?legislature=132
L.D. 222 (H.P. 145): An Act to Establish a Take-back and Disposal Program for Firefighting and Fire-suppressing Foam to Which Perfluoroalkyl and Polyfluoroalkyl Substances Have Been Added ,Support,,Introduced or Prefiled,"Received By The Clerk Of The House On January 16, 2025. The Bill Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/222?legislature=132
L.D. 25 (S.P. 40): An Act to Authorize a General Fund Bond Issue to Fund Wastewater Treatment Facility Planning and Construction of Infrastructure Projects ,Support,"Sewer Systems, Water",Introduced or Prefiled,"Received By The Secretary Of The Senate On January 6, 2025 And Referred To The Committee On Appropriations And Financial Affairs Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/25?legislature=132
"L.D. 2007 (H.P. 1287): An Act Regarding the Criminal Jurisdiction of Tribal Courts and to Extend the Time for the Penobscot Nation to Certify Its Agreement to Public Law 2023, Chapter 369 ",Support,,Enacted,"Enacted,",https://legislature.maine.gov/billtracker/#Paper/2007?legislature=131
"L.D. 2077 (H.P. 1336): Resolve, to Study the Role of Natural Gas in an Equitable Clean Energy Transition for Maine ",Support,,Passed Original Chamber,"Died Upon Conclusion Of The 131St,",https://legislature.maine.gov/billtracker/#Paper/2077?legislature=131
L.D. 2065 (H.P. 1327): An Act to Amend Maine's Aquaculture Leasing Laws ,Watching,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/2065?legislature=131
L.D. 1642 (H.P. 1052): An Act to Strengthen the Teaching of Wabanaki Studies in Maine Schools ,Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/billtracker/#Paper/1642?legislature=131
L.D. 602 (H.P. 379): An Act to Provide Regional Support to Deliver State and Federal Programs to Municipalities in the State ,Support,,Passed Original Chamber,"Died Upon Conclusion Of The 131St,",https://legislature.maine.gov/billtracker/#Paper/602?legislature=131
"L.D. 1670 (H.P. 1068): An Act to Strengthen Maine's Agriculture, Food and Forest Economy by Funding the Maine Agriculture, Food and Forest Products Investment Fund and Amending Related Provisions of Law ",Watching,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/1670?legislature=131
L.D. 713 (H.P. 482): An Act to Require the Transfer to the Highway Fund of 50 Percent of Sales Tax Collected from Automobile Dealers and Sales and Use Tax Collected from the Bureau of Motor Vehicles ,Watching,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/billtracker/#Paper/713?legislature=131
L.D. 1411 (H.P. 907): An Act to Enhance Reporting by Certain Agencies Regarding Greenhouse Gas Emissions ,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/1411?legislature=131
L.D. 815 (H.P. 504): An Act to Provide Energy Efficiency Program Outreach and Assistance to Manufactured Housing Residents ,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/815?legislature=131
"L.D. 1246 (H.P. 794): An Act to Include Endangered and Threatened Species Habitat in the Definition of ""Significant Wildlife Habitat"" Under the Natural Resources Protection Act ",Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/1246?legislature=131
"L.D. 1678 (H.P. 1077): Resolve, Directing the Department of Agriculture, Conservation and Forestry to Study and Report on Soil Carbon Sequestration Incentive Programs ",Watching,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/billtracker/#Paper/1678?legislature=131
L.D. 1621 (H.P. 1046): An Act Regarding Environmental Justice ,Support,,Passed Original Chamber,"Died Upon Conclusion Of The 131St,",https://legislature.maine.gov/billtracker/#Paper/1621?legislature=131
"L.D. 1611 (I.B. 2): An Act to Create the Pine Tree Power Company, a Nonprofit, Customer-owned Utility ",Watching,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/billtracker/#Paper/1611?legislature=131
L.D. 894 (S.P. 386): An Act to Preserve Heating and Energy Choice by Prohibiting a Municipality from Prohibiting a Particular Energy System or Energy Distributor ,Oppose,,Introduced or Prefiled,"Accepted Minority (Ontp) Report,",https://legislature.maine.gov/billtracker/#Paper/894?legislature=131
L.D. 586 (S.P. 254): An Act to Protect Maine Fisheries from the Effects of Industrial Recirculating Aquaculture Operations ,Support,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/billtracker/#Paper/586?legislature=131
L.D. 605 (H.P. 382): An Act to Enhance Commuter-oriented Rail Service ,Watching,,Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/billtracker/#Paper/605?legislature=131
L.D. 231 (S.P. 99): An Act To Establish Open Primaries,Support,"Elections, Free & Fair Elections",Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078305
"L.D. 1240 (S.P. 408): Resolve, To Review Barriers To Regional Solutions For Housing Choices",Support,,Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079896
L.D. 2018 (H.P. 1500): An Act To Implement Recommendations Regarding The Incorporation Of Equity Considerations In Regulatory Decision Making,Support,,Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280083161
L.D. 177 (H.P. 130): An Act To Improve Labor Laws For Workers In Maine,Watching,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078187
L.D. 506 (H.P. 369): An Act To Reduce The Tax Burden On Low-Income Electricity Customers,Support,"Energy Burden, Energy",Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078808
L.D. 1554 (H.P. 1159): An Act To Provide Climate Change Transition Assistance For Maine'S Energy-Intensive Businesses,Oppose,"Energy Efficiency, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080519
"L.D. 1610 (H.P. 1199): An Act To Promote Equity In Policy Making By Enhancing The State'S Ability To Collect, Analyze And Apply Data",Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080623
L.D. 1656 (H.P. 1227): An Act To Promote Energy-Efficient Affordable Housing,Support,"Energy Efficiency, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080748
"L.D. 1902 (H.P. 1409): Resolve, To Establish A Pilot Program To Encourage Climate Education In Maine Public Schools",Support,Climate Change: Prevention & Reaction,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082352
"L.D. 1974 (S.P. 706): An Act To Establish And Fund The Maine Climate Corps Program Pursuant To Recommendations In The Report Required By Resolve 2021, Chapter 25",Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082778
L.D. 1969 (H.P. 1464): An Act Concerning Equity In Renewable Energy Projects And Workforce Development,Support,,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082762
L.D. 585 (H.P. 428): An Act To Restore To The Penobscot Nation And Passamaquoddy Tribe The Authority To Exercise Jurisdiction Under The Federal Tribal Law And Order Act Of 2010,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078988
L.D. 1579 (S.P. 456): An Act To Transition State And Local Motor Vehicle Fleets To 100 Percent Zero-Emission Vehicles,Support,"Electric Vehicle, Transportation",Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080179
"L.D. 1875 (H.P. 1385): An Act To Address Perfluoroalkyl And Polyfluoroalkyl Substances Pollution From State-Owned Solid Waste Disposal Facilities""
(Emergency)",Support,"PFAS, Toxics",Enacted,"Governor'S Action: Emergency Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082295
"L.D. 1959 (S.P. 697): An Act To Ensure Transmission And Distribution Utility Accountability""
(Governor'S Bill)",Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082722
L.D. 1979 (S.P. 710): An Act To Sustain Good-Paying Jobs In The Forest Products Industry By Ensuring Consistency Between Comprehensive River Resource Management Plans And State Water Quality Standards,Oppose,,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082795
L.D. 2019 (H.P. 1501): An Act To Require The Registration Of Adjuvants In The State And To Regulate The Distribution Of Pesticides With Perfluoroalkyl And Polyfluoroalkyl Substances,Support,,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280083171
L.D. 2003 (H.P. 1489): An Act To Implement The Recommendations Of The Commission To Increase Housing Opportunities In Maine By Studying Zoning And Land Use Restrictions,Watching,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082953
L.D. 1129 (H.P. 807): An Act Relating To The Valuation Of Retail Sales Facilities,Watching,,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079716
L.D. 1694 (H.P. 1259): An Act To Create The Maine Redevelopment Land Bank Authority,Support,State Agency,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080793
L.D. 259 (H.P. 180): An Act To Improve Solid Waste Management,Support,,Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078366
L.D. 1961 (S.P. 699): An Act To Help Alleviate Maine'S Housing Shortage And Change The Membership Of The Maine State Housing Authority,Support,,Enacted,"Governor'S Action: Unsigned,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082724
L.D. 906 (H.P. 662): An Act To Provide Passamaquoddy Tribal Members Access To Clean Drinking Water,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079364
L.D. 1911 (H.P. 1417): An Act To Prohibit The Contamination Of Clean Soils With So-Called Forever Chemicals,Support,"PFAS, Toxics",Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082389
L.D. 1639 (S.P. 523): An Act To Protect The Health And Welfare Of Maine Communities And Reduce Harmful Solid Waste,Support,"Solid Waste, Waste",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080698
"L.D. 1913 (S.P. 674): An Act To Review Strategies For Improving Utility Rate Affordability And To Provide Utility Relief""
(Emergency)",Watching,,Enacted,Signed By The Governor (Emergency Measure),https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082443
L.D. 1350 (S.P. 432): An Act To Expand Maine'S Clean Energy Economy,Support,,Introduced or Prefiled,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080102
L.D. 1626 (H.P. 1210): An Act Implementing The Recommendations Of The Task Force On Changes To The Maine Indian Claims Settlement Implementing Act,Support,"Social Justice, Free & Fair Elections",Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080665
L.D. 170 (H.P. 123): An Act Pertaining To Transmission Lines Not Needed For Reliability Or Local Generation,Support,,Sent to Executive,"Veto Sustained,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078179
L.D. 1971 (H.P. 1466): An Act To Implement The Recommendations Of The Right To Know Advisory Committee Concerning Remote Participation,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082770
L.D. 1634 (H.P. 1218): An Act To Create The Maine Generation Authority,Support,State Agency,Passed Original Chamber,"Died Between Houses,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080681
"L.D. 1847 (H.P. 1368): An Act To Prohibit A Public Utility From Terminating Or Disconnecting Service To A Public Safety Facility Without Advance Notice And Approval""
(Emergency)",Watching,,Enacted,Signed By The Governor (Emergency Measure),https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082223
"L.D. 1970 (H.P. 1465): An Act To Implement Agency Recommendations Relating To Sea Level Rise And Climate Resilience Provided Pursuant To Resolve 2021, Chapter 67",Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082763
"L.D. 1616 (H.P. 1205): An Act To Ensure That Municipalities And Multimunicipal Regions Of Every Size And Capacity Have Guidance On Climate Adaptation And Resilience Strategies For Policy, Implementation And Investment Decision Support",Support,"Resource Planning, State Agency",Passed Original Chamber,"Died Between Houses,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080636
"L.D. 2006 (H.P. 1492): An Act To Improve The Low-Income Home Energy Assistance Program""
(Emergency)",Support,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082956
L.D. 697 (H.P. 509): An Act To Enhance The Energy Security Of Maine Residents,Support,,Introduced or Prefiled,"Accepted Minority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079154
L.D. 2013 (S.P. 729): An Act Relating To Perfluoroalkyl And Polyfluoroalkyl Substances Contamination In The State,Support,"PFAS, Toxics",Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280083111
L.D. 1796 (H.P. 1337): An Act To Coordinate Marine Port Development,Watching,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082116
L.D. 1964 (S.P. 690): An Act To Update Certain Water Quality Standards And To Reclassify Certain Waters Of The State,Support,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082684
L.D. 856 (H.P. 624): An Act To Balance Renewable Energy Development With Natural And Working Lands Conservation,Support,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079325
L.D. 1429 (H.P. 1045): An Act To Implement The Most Time-Sensitive Recommendations Of The Maine Climate Council,Support,Food & Ag,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080314
L.D. 1826 (H.P. 1359): An Act To Create A Subcommittee Of The Interagency Task Force On Invasive Aquatic Plants And Nuisance Species To Recommend Ways To Reduce The Threat Of Further Infestations,Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082169
"L.D. 1898 (H.P. 1405): An Act To Address The Economic Impact Of Federal Closures On Maine'S Fixed Gear Fishing Industry""
(Emergency)",Support,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082333
L.D. 1940 (S.P. 680): An Act To Ensure That Building Codes Allow The Installation And Use Of Products And Equipment That Use Certain Federally Regulated Refrigerants,Oppose,,Enacted,"Governor'S Action: Signed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082489
L.D. 798 (S.P. 70): An Act To Improve The Educational Opportunity Tax Credit,Support,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078178
L.D. 866 (H.P. 634): An Act Concerning Advanced Refrigeration Technology,Watching,,Passed Original Chamber,"Indefinitely Postponed,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079323
L.D. 1658 (H.P. 1229): An Act To Increase Campaign Finance Transparency And Accountability In Municipal Elections,Watching,,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080749
L.D. 1955 (S.P. 693): An Act To Facilitate Net Energy Billing,Support,,Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082701
"L.D. 1884 (H.P. 1394): An Act To Create Affordable Agricultural Homesteads""
(Emergency)",Watching,,Introduced or Prefiled,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280082294
L.D. 1503 (H.P. 1113): An Act To Stop Perfluoroalkyl And Polyfluoroalkyl Substances Pollution,Support,"PFAS, Toxics",Enacted,Became Law Without Governor'S Signature (Emergency Measure),https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080415
L.D. 1600 (H.P. 1189): An Act To Investigate Perfluoroalkyl And Polyfluoroalkyl Substance Contamination Of Land And Groundwater,Support,"Water Quality, Water",Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080637
L.D. 1541 (H.P. 1146): An Act To Support And Improve Municipal Recycling Programs And Save Taxpayer Money,Support,"Recycling, Waste",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080518
L.D. 940 (H.P. 696): An Act To Establish Appliance Energy And Water Standards,Support,"Energy Efficiency, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079391
L.D. 347 (H.P. 245): An Act To Facilitate Maine'S Climate Goals By Encouraging Use Of Electric Vehicles,Support,"Electric Vehicle, Transportation",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078559
L.D. 1549 (H.P. 1154): An Act To Establish The Maine Forest Advisory Board,Support,Forestry,Sent to Executive,"Veto Sustained,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080511
"L.D. 1226 (H.P. 897): Resolve, Directing The Permanent Commission On The Status Of Racial, Indigenous And Maine Tribal Populations To Examine Restorative Justice",Support,Free & Fair Elections,Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079854
"L.D. 1708 (H.P. 1269): An Act To Create The Pine Tree Power Company, A Nonprofit Utility, To Deliver Lower Rates, Reliability And Local Control For Maine Energy Independence",Support,Utilities,Sent to Executive,"Veto Sustained,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080894
L.D. 1710 (S.P. 563): An Act To Require Prompt And Effective Use Of The Renewable Energy Resources Of Northern Maine,Support,"Renewable Standards, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080911
L.D. 1659 (H.P. 1230): An Act To Create The Maine Clean Energy And Sustainability Accelerator,Support,Energy,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080751
L.D. 363 (H.P. 261): An Act Regarding The Statute Of Limitations For Injuries Or Harm Resulting From Perfluoroalkyl And Polyfluoroalkyl Substances,Support,"PFAS, Toxics",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078557
