Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
"L.D. 296 (H.P. 196): An Act to Appropriate Funds to the Department of Environmental Protection, Lake Water Quality Restoration and Protection Fund",Support,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/HP0196?legislature=132,"This Senate amendment to Committee Amendment 'A' for L.D. 296, 'An Act to Appropriate Funds to the Department of Environmental Protection, Lake Water Quality Restoration and Protection Fund,' revises the appropriations and allocations section of the bill. Specifically, it replaces the previous funding amounts with a reduced allocation, providing $50,000 from the General Fund for each of the fiscal years 2025-26 and 2026-27. These funds are designated as one-time funding for projects that meet certain criteria and are intended to improve or maintain the quality of lake waters in Maine. The amendment does not introduce new timelines or deadlines beyond the specified fiscal years, nor does it alter the underlying purpose of the fund, which remains focused on lake water quality restoration and protection. The primary change is the reduction in the amount of funding allocated for these purposes compared to the original committee amendment.","ME Rep. William ""Bill"" Bridgeo (D-ME-060)","ME Rep. Arthur ""Art"" Bell (D-ME-103), ME Rep. Richard ""Dick"" Campbell (R-ME-019), ME Rep. Victoria ""Vicki"" Doudera (D-ME-041), ME Rep. John ""Jack"" Ducharme (R-ME-071), ME Rep. Morgan Rielly (D-ME-127), ME Rep. Michael ""Mike"" Soboleski (R-ME-073), ME Rep. Holly Stover (D-ME-048), ME Sen. Denise Tepler (D-ME-024), ME Rep. David ""Dave"" Woodsome (R-ME-139)"
"L.D. 400 (H.P. 254): Resolve, Directing the Department of Public Safety, Office of the State Fire Marshal to Compile a Statewide Inventory of Aqueous Film-forming Foam Concentrate",Support,"PFAS, Toxics",Enacted,,Final Disposition: Finally Passed,https://legislature.maine.gov/billtracker/#Paper/HP0254?legislature=132,"This Senate amendment to Committee Amendment 'A' for L.D. 400 directs the State Controller to transfer specific funds from the Maine Solid Waste Management Fund to the General Fund's unappropriated surplus. The transfers amount to $85,732 by June 30, 2026, and $86,378 by June 30, 2027. These funds are allocated to cover the costs associated with a limited-period Office Assistant II position and related expenses necessary for compiling a statewide inventory of aqueous film-forming foam (AFFF) concentrate, as directed by the underlying resolve. The amendment modifies current law by mandating these fund transfers, referencing the Maine Revised Statutes, Title 38, section 2201, which governs the Solid Waste Management Fund. No additional deadlines or timelines are introduced beyond the specified transfer dates. The amendment is directly aligned with the organization's mission if it is focused on environmental safety, hazardous materials management, or public health, as it supports the systematic identification and management of AFFF, a substance of environmental concern.","ME Rep. Daniel ""Dan"" Ankeles (D-ME-100)","ME Rep. Poppy Arford (D-ME-101), ME Rep. Arthur ""Art"" Bell (D-ME-103), ME Rep. William ""Bill"" Bridgeo (D-ME-060), ME Sen. Mattie Daughtry (D-ME-023), ME Rep. Victoria ""Vicki"" Doudera (D-ME-041), ME Rep. Lori Gramlich (D-ME-131), ME Rep. Laurie Osher (D-ME-025), ME Rep. Michael ""Mike"" Soboleski (R-ME-073), ME Sen. Denise Tepler (D-ME-024)"
L.D. 556 (S.P. 218): An Act to Preserve Heating and Energy Choice by Prohibiting a Municipality from Prohibiting a Particular Energy System or Energy Distributor,Oppose,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/SP0218?legislature=132,"Legislative Document No. 556, introduced in the 132nd Maine Legislature, seeks to preserve consumer choice in heating and energy systems by prohibiting municipalities from enacting ordinances or regulations that ban the use of any safe and commercially available heating or energy system for individuals or entities, including for motor vehicles. The bill also prevents municipalities from restricting individuals or entities from hiring any person or energy distributor to install, connect, service, or resupply such systems, unless such prohibitions are specifically authorized by state statute. The definition of 'energy distributor' encompasses suppliers of oil, propane, natural gas, wood, renewable resources, and related energy services, with 'renewable resources' defined as per existing state law. The legislation does not prevent municipalities from encouraging or financially supporting particular energy systems, nor does it exempt energy distributors or installers from existing licensing or regulatory requirements. This bill amends Title 30-A of the Maine Revised Statutes by enacting section 3015, thereby limiting local government authority over energy system choices while maintaining state-level oversight and regulatory standards.",ME Sen. Matt Harrington (R-ME-033),"ME Sen. Joe Baldacci (D-ME-009), ME Rep. Steven Foster (R-ME-032), ME Rep. Randall Greenwood (R-ME-056), ME Rep. Reagan Paul (R-ME-037)"
L.D. 1270 (H.P. 845): An Act to Establish the Department of Energy Resources,Support,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/HP0845?legislature=132,"This House amendment to Committee Amendment ""A"" for L.D. 1270, ""An Act to Establish the Department of Energy Resources,"" introduces several significant changes to the bill and related statutes. The amendment revises the process by which the Bureau of Labor Standards determines the prevailing hourly wage and benefits rate in Maine's construction industry, as outlined in 26 MRSA §1308. It mandates that the Bureau collect three sets of wage and benefit data annually: from surveys, certified payrolls on state public works, and federal Davis-Bacon Act classifications. Labor unions are now required to submit their most recent collectively bargained rates each year. The Bureau must use the highest wage and benefits information from these sources to set the prevailing rate and is directed to limit any year-over-year decrease in the prevailing rate to no more than 15%. Additionally, the Bureau is required to consider wage and benefits information from both construction trade associations and labor unions in the locality of the public works project. The definition of ""benefits"" is clarified to include various forms of compensation beyond wages, such as health, pension, and vacation contributions.

The amendment also removes previous changes to the definition of ""Maine emerging industry compensation threshold"" and replaces the requirement for community and workforce enhancement standards with a new provision mandating that the Department of Energy Resources ensure wage, safety, and apprenticeship standards for contractors and subcontractors on state-assisted energy projects. Specifically, these standards require that all construction workers be paid at or above the prevailing wage and that contractors comply with relevant state labor laws (Title 26, Sections 1301, 1317, and 3502).

A new reporting requirement is established, directing the Department of Labor to submit a report by January 15, 2026, to the Joint Standing Committee on Labor. This report must detail the process and progress of using wage and benefits information from trade associations and labor unions in determining prevailing rates. The committee is authorized to introduce further legislation based on this report in the next legislative session.

These changes align with the organization's mission to promote fair labor standards, worker protections, and transparency in wage determination processes, particularly in the context of public works and state-assisted energy projects. The amendment strengthens requirements for prevailing wage calculations, ensures broader stakeholder input, and enhances oversight through mandated reporting.

In summary, the amendment refines wage determination procedures, strengthens labor standards for state energy projects, and increases transparency and accountability in the use of wage data, supporting the organization's focus on fair labor practices and worker protections.","ME Rep. Walter ""Gerry"" Runte (D-ME-146)","ME Sen. Rick Bennett (R-ME-018), ME Rep. Valli Geiger (D-ME-042), ME Rep. Christopher Kessler (D-ME-121), ME Sen. Mark Lawrence (D-ME-035), ME Rep. Melanie Sachs (D-ME-102), ME Rep. Sophia Warren (D-ME-124), ME Rep. Kilton Webb (D-ME-098)"
L.D. 1072 (S.P. 458): An Act to Amend the Laws Governing the Land for Maine's Future Program and to Authorize the Use of Options to Purchase at Agricultural Value,Support,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/SP0458?legislature=132,"This legislative amendment pertains to the Land for Maine's Future Program, specifically modifying the Maine Revised Statutes, Title 5, chapter 353. The amendment clarifies that any fee interests in land acquired under this program and held by the State cannot be sold or repurposed for uses other than those explicitly stated in chapter 353, unless such a change is approved by a two-thirds majority of the Legislature. This change strengthens the protection of state-held lands acquired through the program, ensuring that their use remains consistent with the original conservation and public benefit intentions unless there is significant legislative consensus to alter that use. The amendment does not introduce new funding provisions or deadlines, but it does reinforce legislative oversight and the safeguarding of public lands. This aligns with the mission of organizations focused on land conservation, public access, and responsible stewardship of natural resources, as it upholds the integrity and intended use of conserved lands.",ME Sen. Stacy Brenner (D-ME-030),
"L.D. 1355 (H.P. 878): Resolve, to Require the Governor's Energy Office to Study Taxation of Renewable Energy Infrastructure",Support,,Enacted,,Final Disposition: Finally Passed,https://legislature.maine.gov/billtracker/#Paper/HP0878?legislature=132,"This Senate amendment to Committee Amendment 'A' for L.D. 1355 modifies the resolve directing the Governor's Energy Office to conduct a study on the taxation of renewable energy infrastructure in Maine. The amendment extends the deadline for the Governor's Energy Office to submit its report, including findings, recommendations, and any proposed legislation, from December 3, 2025, to November 4, 2026. The report must be developed in consultation with the Office of Tax Policy, renewable energy industry representatives, other experts, and relevant municipal and county officials, and must include public input. The amendment authorizes the Governor's Energy Office to receive funding from public or private sources to support the study, with a requirement to disclose all funding sources in the final report. Additionally, the amendment clarifies that the office is not obligated to undertake work for which it lacks sufficient funding. The joint standing committee of the Legislature with jurisdiction over taxation is empowered to introduce legislation based on the report to the 133rd Legislature in 2027. The amendment also removes the appropriations and allocations section from the original bill, shifting the funding mechanism to external contributions rather than direct legislative appropriation. These changes align with the organization's mission to ensure transparent, inclusive, and adequately funded policy development in the area of renewable energy taxation, while emphasizing stakeholder engagement and fiscal responsibility.",ME Rep. Tavis Hasenfus (D-ME-057),
L.D. 222 (H.P. 145): An Act to Establish a Take-back and Disposal Program for Firefighting and Fire-suppressing Foam to Which Perfluoroalkyl and Polyfluoroalkyl Substances Have Been Added,Support,,Enacted,,Governor Action: Held By Governor,https://legislature.maine.gov/billtracker/#Paper/HP0145?legislature=132,"This legislative amendment modifies the original bill establishing a take-back and disposal program for firefighting and fire-suppressing foam containing perfluoroalkyl and polyfluoroalkyl substances (PFAS) in Maine. The amendment clarifies that the Department of Environmental Protection (DEP) is authorized to design and implement the program only when funds are available, ensuring that the program's operation is contingent upon sufficient financial resources. Additionally, it explicitly allows the DEP to receive funds, grants, or contributions from both public and private sources to support the program's development and execution. The amendment also replaces the previous appropriations section with a baseline allocation, establishing an account with an annual allocation of $500 for fiscal years 2025-26 and 2026-27 to accept funding for contracted services related to the take-back and disposal of PFAS-containing foam. These changes ensure that the program will not proceed without adequate funding and provide flexibility for the DEP to seek external financial support. The amendment aligns with environmental protection goals by facilitating the safe disposal of hazardous firefighting foams, while also addressing practical funding considerations.","ME Rep. Daniel ""Dan"" Ankeles (D-ME-100)","ME Rep. Poppy Arford (D-ME-101), ME Rep. Richard ""Dick"" Campbell (R-ME-019), ME Sen. Mattie Daughtry (D-ME-023), ME Rep. Victoria ""Vicki"" Doudera (D-ME-041), ME Rep. Cheryl Golek (D-ME-099), ME Rep. Lori Gramlich (D-ME-131), ME Rep. Michael ""Mike"" Soboleski (R-ME-073), ME Rep. Holly Stover (D-ME-048), ME Sen. Denise Tepler (D-ME-024)"
L.D. 317 (H.P. 217): An Act to Enact the Safe Cosmetics Act,Support,Toxics,Sent to Executive,,"Carried Over, In The Same Posture, To Any Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 800.",https://legislature.maine.gov/billtracker/#Paper/HP0217?legislature=132,"The committee amendment to L.D. 317, 'An Act to Enact the Safe Cosmetics Act,' introduces an appropriations and allocations section to the original bill. Specifically, it provides funding from the General Fund for the Department of Environmental Protection, allocating $206,592 for fiscal year 2025-26 and $221,750 for fiscal year 2026-27. These funds will support the creation of two new positions: one Environmental Specialist III and one Planning and Research Associate II, along with associated costs. The amendment does not alter the substantive provisions of the Safe Cosmetics Act itself but ensures that the Department has the necessary resources to implement and enforce the Act. No new deadlines or timelines are introduced in this amendment. The key point of this amendment is the provision of dedicated funding and staffing to support the Act’s objectives, which aligns with the organization's mission to ensure effective environmental protection and public health oversight.",ME Rep. Sophia Warren (D-ME-124),"ME Rep. Mana Abdi (D-ME-095), ME Sen. Mattie Daughtry (D-ME-023), ME Rep. Lori Gramlich (D-ME-131), ME Rep. Ambureen Rana (D-ME-021)"
L.D. 441 (H.P. 295): An Act to Allow the Investment of Money Deposited with the Treasurer of State for the Maine Deer Management Fund,Support,,Sent to Executive,,"Carried Over, In The Same Posture, To Any Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 800.",https://legislature.maine.gov/billtracker/#Paper/HP0295?legislature=132,"This legislative amendment to H.P. 295, L.D. 441, titled 'An Act to Allow the Investment of Money Deposited with the Treasurer of State for the Maine Deer Management Fund,' revises the management of the Maine Deer Management Fund. The amendment authorizes that money deposited with the Treasurer of State to the credit of the Maine Deer Management Fund may be invested according to existing legal provisions, and any income generated from these investments must be credited back to the fund. The fund itself is composed of $2 from each deer registration fee and revenue from antlerless deer permit fees (minus administrative costs), which are designated for landowner-deer conflict management, predator control, and deer habitat acquisition or management. The amendment maintains the fund's separation from other state monies and continues to allow for the acceptance of monetary gifts, donations, or contributions from public or private sources. Additionally, the Department of Inland Fisheries and Wildlife is required to report annually to the relevant legislative committee on the fund's status and utilization. This change does not alter the purposes for which the fund may be used but enhances its financial management by allowing investment of its assets, potentially increasing available resources for wildlife and habitat management.",ME Rep. Tiffany Roberts (D-ME-149),
L.D. 995 (H.P. 642): An Act to Provide Funding for Low-income Electric Ratepayer Assistance,Support,,Sent to Executive,,"Carried Over, In The Same Posture, To Any Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 800.",https://legislature.maine.gov/billtracker/#Paper/HP0642?legislature=132,"This legislative amendment to L.D. 995, 'An Act to Provide Funding for Low-income Electric Ratepayer Assistance,' revises the definition of 'low-income household' for the purposes of needs-based electric ratepayer assistance in Maine. The new definition specifies that a low-income household is one that qualifies for an assistance program administered by the Maine State Housing Authority under Title 30-A, Section 4722, or a means-tested program administered by the Department of Health and Human Services, and has an income not exceeding 150% of the federal poverty level as defined in Title 22, Section 3762. This change clarifies eligibility criteria for low-income electric ratepayer assistance, ensuring that support is targeted to households with the greatest financial need. The amendment does not specify new funding amounts or allocations but focuses on refining eligibility standards. The bill requires a fiscal note, indicating that financial implications will be assessed. This amendment aligns with the organization's mission to support equitable access to essential utilities for low-income populations by ensuring that assistance programs are directed toward those most in need.",ME Rep. Melanie Sachs (D-ME-102),"ME Rep. Michael Brennan (D-ME-115), ME Rep. Steven Foster (R-ME-032), ME Sen. Nicole Grohoski (D-ME-007), ME Rep. Christopher Kessler (D-ME-121), ME Rep. Mathew McIntyre (R-ME-018), ME Rep. Walter ""Gerry"" Runte (D-ME-146), ME Rep. Holly Stover (D-ME-048), ME Rep. Sophia Warren (D-ME-124)"
