Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
L.D. 1065 (S.P. 438): An Act Regarding the Reduction and Recycling of Food Waste ,Watching,,Introduced or Prefiled,,2025-03-12,https://legislature.maine.gov/billtracker/#Paper/1065?legislature=132,"The legislative text outlines a comprehensive framework aimed at reducing and recycling food waste in Maine. The primary provisions mandate that, starting July 1, 2027, designated food waste generators are prohibited from disposing of food waste in incineration facilities or landfills. Instead, they must reduce food waste volume, donate excess edible food, and manage remaining waste through agricultural use, composting, or anaerobic digestion. The legislation defines a designated food waste generator based on the average weekly food waste produced and its proximity to an organics recycler. Initially, from July 1, 2027, to June 30, 2029, this applies to entities generating two or more tons of food waste weekly within 20 miles of a recycler. From July 1, 2029, the threshold lowers to one ton per week within 25 miles. By July 1, 2032, the Department of Environmental Protection may extend these criteria to include those generating less than one ton but more than 100 pounds weekly or located farther than 25 miles from a recycler. The bill also allows for temporary hardship waivers of up to three years if compliance causes undue hardship. Additionally, the legislation revises the state's food recovery hierarchy, emphasizing the reduction, donation, and recycling of food waste, and clarifies the state’s waste disposal reduction goals. The Department of Environmental Protection is tasked with administering these requirements, including publishing a list of authorized organics recyclers and food rescue organizations by July 1, 2026.",ME Sen. Stacy Brenner (D-ME-030),
L.D. 1020 (S.P. 437): An Act to Repeal the Laws Providing for the Construction of a Connector to Gorham and to Resell Land Taken Under Those Laws to Previous Property Owners ,Support,,Introduced or Prefiled,3/28/2025,"Received By The Secretary Of The Senate On March 12, 2025 And Referred To The Committee On Transportation Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/1020?legislature=132,"The legislative text outlines a bill that repeals specific provisions of the Maine Revised Statutes, specifically sections 23 MRSA §1965, sub-§1, ¶D-2, §1965-C, and §1968, sub-§2-D, which were enacted in 2017. These provisions previously authorized the construction of a connector to Gorham. The bill mandates the Maine Turnpike Authority to resell any land acquired for this project back to the original property owners or their heirs, assigns, or successors at the original purchase price. Should the original owners or their successors decline to repurchase the land within one year of the bill's enactment, the Maine Turnpike Authority is required to transfer the property to the municipality where it is located at no cost. If the municipality does not wish to retain the property, it must donate it to a local land trust. Should the land trust also decline the property, the municipality is then permitted to sell the land through a public auction. The bill does not specify any new funding allocations or financial figures, nor does it introduce any new deadlines beyond the one-year timeframe for the resale of the land.",ME Sen. Stacy Brenner (D-ME-030),
L.D. 1037 (H.P. 666): An Act to Lower the Energy Burden of Residents by Advancing Climate Change Goals ,Watching,,Introduced or Prefiled,3/24/2025,"Received By The Clerk Of The House On March 12, 2025. The Bill Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/1037?legislature=132,"The legislative text outlines a requirement for the Maine Climate Council to enhance its annual reporting by including specific recommendations aimed at reducing the energy burden on residents of Maine. This amendment to the existing statute, 38 MRSA §577-A, sub-§10, mandates that starting January 15, 2026, the council's report must explicitly address strategies to alleviate energy costs for the state's residents. The report, which is submitted to the joint standing committee of the Legislature responsible for environment and natural resources, will continue to detail the council's activities, findings, and any proposed legislation. The committee retains the authority to propose new legislation based on the council's recommendations. This legislative change does not specify any new funding allocations or financial figures, nor does it introduce any immediate deadlines beyond the specified date for the inclusion of the new reporting requirement.",ME Rep. Sophia Warren (D-ME-124),
"L.D. 1035 (H.P. 664): Resolve, to Study the Safe Disposal of Single-use Propane Canisters ",Watching,,Introduced or Prefiled,3/24/2025,"Received By The Clerk Of The House On March 12, 2025. The Resolve Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/1035?legislature=132,"The legislative document mandates the Department of Environmental Protection to conduct a comprehensive study on the existing infrastructure for disposing of single-use propane canisters. The primary aim is to develop recommendations that will enable residents to safely dispose of these canisters. Additionally, the department is tasked with exploring the feasibility of instituting a statewide ban on non-refillable propane canisters. The findings and recommendations from this study are to be compiled into a report, which must be submitted by December 3, 2025, to the Joint Standing Committee on Environment and Natural Resources. This committee is granted the authority to propose new legislation based on the report's findings during the Second Regular Session of the 132nd Legislature.",ME Rep. Ambureen Rana (D-ME-021),
L.D. 1010 (H.P. 657): An Act to Amend the State's Vehicle Inspection Law by Requiring Inspections Biennially ,Watching,,Introduced or Prefiled,,The Bill Was Referred To The Committee On Transportation In Concurrence,https://legislature.maine.gov/billtracker/#Paper/1010?legislature=132,"The legislative text outlines amendments to the State of Maine's vehicle inspection laws, specifically altering the frequency of required inspections for motor vehicles. The primary provision of the legislation mandates that vehicles registered in the state must undergo inspection every other year, replacing the previous requirement for annual inspections. This change applies to both standard and enhanced inspections, the latter of which is required for vehicles registered in Cumberland County. Enhanced inspections include checks on specific equipment such as the fuel tank cap for gasoline-powered vehicles from 1974 onwards and the on-board diagnostic system for models from 1996 onwards. The legislation does not specify any new funding allocations or financial figures related to these changes. The amendments to the existing statutes are reflected in the modifications to 29-A MRSA §1751, sub-§1 and sub-§2-A, where the term ""annual"" is replaced with ""every other year."" The legislation does not introduce any specific timelines or deadlines beyond the biennial inspection requirement.",ME Rep. Chad Perkins (R-ME-031),
L.D. 995 (H.P. 642): An Act to Provide Funding for Low-income Electric Ratepayer Assistance ,Support,,Introduced or Prefiled,3/26/2025,"The Bill Was Referred To The Committee On Energy, Utilities And Technology In Concurrence",https://legislature.maine.gov/billtracker/#Paper/995?legislature=132,"The legislative text outlines a measure aimed at providing financial assistance to low-income households for their electricity expenses. The primary provision of this legislation is the definition of a ""low-income household"" as one with an income not exceeding 150% of the federal poverty level, as specified in Title 22, Section 3762, Subsection 1, Paragraph C. This definition is incorporated into the existing statute, 35-A MRSA §3214, sub-§2, to ensure clarity and consistency in the application of low-income assistance programs. The legislation allocates a total of $15 million in one-time funds, divided equally over two fiscal years, 2025-26 and 2026-27, with $7.5 million designated for each year. These funds are intended to support low-income electric ratepayer assistance, managed by the Maine State Housing Authority under the Low-income Home Energy Assistance program. The financial support is aimed at alleviating the burden of electricity costs for eligible households, thereby enhancing their access to essential energy services.",ME Rep. Melanie Sachs (D-ME-102),
"L.D. 946 (H.P. 611): Resolve, to Increase Access to Energy Efficiency Programs by Low-income and Moderate-income Residents ",Support,,Introduced or Prefiled,3/26/2025,"Received By The Clerk Of The House On March 5, 2025. The Resolve Was Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/946?legislature=132,"The legislative document mandates the Efficiency Maine Trust to revise its rules and procedures to ensure equitable distribution of resources to low-income and moderate-income residents. Specifically, it requires that half of all electric vehicle rebates distributed annually be allocated to these income groups. Additionally, the legislation stipulates that half of the annual funding for residential incentives, which support homeowners in adopting energy efficiency and renewable energy solutions, be directed towards low-income and moderate-income residents. This includes funding for items such as heat pumps and appliances. The objective of these provisions is to enhance access to energy efficiency programs for economically disadvantaged groups, thereby promoting broader participation in sustainable energy initiatives.",ME Rep. Sophia Warren (D-ME-124),
L.D. 837 (S.P. 370): An Act to Require the Office of the Public Advocate to Implement the State's Climate Action Plan ,Support,,Introduced or Prefiled,3/18/2025,"The Bill Was Referred To The Committee On Energy, Utilities And Technology. In Concurrence. Ordered Sent Forthwith.",https://legislature.maine.gov/billtracker/#Paper/837?legislature=132,"The legislative text mandates the Office of the Public Advocate in Maine to take on the responsibility of implementing the state's Climate Action Plan. This new duty is added to the existing responsibilities of the Public Advocate as outlined in the Maine Revised Statutes, specifically under 35-A MRSA §1702, sub-§11. The legislation does not specify any additional funding allocations or financial figures to support this implementation. Furthermore, the bill does not introduce any specific timelines or deadlines for the execution of these duties. The primary objective of this legislative change is to ensure that the state's Climate Action Plan is actively pursued and integrated into the functions of the Public Advocate, thereby reinforcing the state's commitment to addressing climate change.",ME Sen. Mark Lawrence (D-ME-035),
L.D. 827 (S.P. 351): An Act to Allow the Sale of Polymer-coated Cookware That Is Authorized for Food Contact by the United States Food and Drug Administration ,Oppose,,Introduced or Prefiled,3/17/2025,The Bill Was Referred To The Committee On Environment And Natural Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/827?legislature=132,"The legislative text introduces amendments to existing Maine statutes concerning the sale and regulation of cookware products. The primary objective of the legislation is to permit the sale of polymer-coated cookware that is authorized for food contact by the United States Food and Drug Administration (FDA). Specifically, the bill modifies the definition of ""cookware product"" under 38 MRSA §1614, sub-§1, ¶A-10, to exclude polymer-coated durable items approved by the FDA for food contact. Additionally, the legislation amends 38 MRSA §1614, sub-§5, ¶B-1, to allow cookware products with cooking surfaces containing polytetrafluoroethylene, fluorinated ethylene propylene, or perfluoroalkoxy alkane, even if they contain intentionally added per- and polyfluoroalkyl substances (PFAS). The bill does not specify any funding allocations or financial figures, nor does it outline any specific timelines or deadlines for implementation.",ME Sen. Jeff Timberlake (R-ME-017),
"L.D. 820 (H.P. 527): RESOLUTION, Proposing an Amendment to the Constitution of Maine to Establish the Right to Hunt and Fish ",Watching,,Introduced or Prefiled,,"Received By The Clerk Of The House On February 27, 2025. The Resolution Was Referred To The Committee On Inland Fisheries And Wildlife Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/820?legislature=132,"The proposed legislative resolution seeks to amend the Constitution of Maine to establish a constitutional right for individuals to hunt, fish, and harvest game and fish using traditional methods. This right is protected from infringement, although it remains subject to reasonable laws enacted by the legislature and rules adopted by the designated state agency responsible for fish and wildlife management. These regulations aim to promote wildlife conservation and management while preserving the future of hunting and fishing. The amendment emphasizes that public hunting and fishing are the preferred methods for managing and controlling wildlife populations. Importantly, the amendment does not alter existing laws related to eminent domain, trespass, or property rights. The resolution outlines a procedure for a constitutional referendum, requiring municipal officers to notify residents to vote on the amendment during a statewide election in November following the resolution's passage. The Secretary of State is tasked with preparing and distributing the necessary ballots and materials for the referendum. If a majority of legal votes favor the amendment, the Governor will proclaim its ratification, and it will become part of the Maine Constitution on the proclamation date.","ME Rep. Elizabeth ""Liz"" Caruso (R-ME-072)",
